44,210,328,100,75,57,78,107
35,167,346,104,69,48,95,125
33,169,268,96,64,42,95,119
32,162,274,91,60,38,89,119
32,180,293,83,49,40,97,121
31,203,356,99,37,38,99,122
32,210,361,106,38,41,102,88
31,192,351,116,36,39,95,88
30,195,409,122,37,40,97,90
30,170,456,115,38,36,89,92
29,132,415,100,41,34,88,93
28,157,410,92,39,29,61,64
32,176,418,88,41,33,50,63
34,175,371,86,46,33,69,101
36,180,300,100,46,38,76,98
38,189,320,100,45,37,78,103
37,194,313,100,46,38,80,105
35,199,363,98,45,34,80,105
34,203,330,94,41,32,59,64
32,203,305,78,43,33,78,131
33,199,280,76,46,37,85,127
34,179,290,88,48,36,86,128
33,182,256,125,54,38,87,130
32,166,279,122,54,38,90,128
30,199,278,121,52,34,66,64
30,198,339,120,50,28,52,59
30,190,340,108,46,31,56,106
33,165,303,71,41,29,54,108
33,171,314,73,40,27,51,112
31,131,329,74,40,29,50,110
28,154,297,79,38,31,53,110
29,154,329,101,40,34,46,61
34,152,324,95,38,37,46,52
37,170,297,95,39,40,48,51
37,180,310,95,39,39,53,46
40,157,286,100,40,38,52,49
40,159,244,81,40,33,68,45
35,200,246,80,39,32,72,46
34,178,248,81,36,30,77,110
34,162,252,84,38,32,74,113
30,166,267,109,42,32,72,116
30,166,288,108,40,31,55,119
30,146,287,106,45,32,52,119
27,152,294,103,46,34,38,67
30,151,265,107,47,33,43,60
31,143,303,75,44,34,46,53
33,169,296,70,45,34,53,98
34,139,313,80,41,33,53,105
34,129,402,83,39,30,55,103
32,141,399,81,38,31,54,107
34,191,378,84,39,32,53,109
36,173,382,96,41,34,47,70
36,196,419,108,43,33,45,59
37,203,384,113,51,32,44,55
36,198,386,108,49,30,41,66
35,188,361,105,54,27,40,90
31,186,344,107,55,26,39,92
34,172,358,91,53,25,38,96
30,169,310,87,48,24,42,98
31,170,323,101,51,27,41,89
32,157,317,103,47,25,35,69
31,169,301,90,43,24,37,61
27,185,251,91,41,27,38,54
29,179,325,94,40,27,40,48
29,183,306,80,39,29,40,44
29,165,321,77,39,34,41,41
27,156,331,77,38,36,40,41
31,160,302,73,40,35,41,43
31,161,237,61,43,35,40,95
32,159,248,70,44,34,41,97
31,211,250,70,42,31,42,100
31,208,238,68,48,32,40,101
27,194,230,68,44,32,39,101
27,203,210,70,44,32,39,58
28,223,309,70,43,30,39,54
28,168,296,70,46,29,45,49
29,199,303,70,44,25,46,45
29,201,319,87,45,28,46,43
28,192,334,90,44,27,44,101
30,180,256,83,45,26,41,109
29,188,266,81,44,28,33,108
29,157,265,80,43,29,31,109
27,145,245,60,44,29,39,110
28,152,219,64,42,28,37,65
26,131,200,69,41,30,38,52
28,137,198,78,44,33,40,47
29,139,227,84,44,33,41,98
31,142,312,83,45,32,33,100
32,151,309,78,46,34,33,103
32,176,323,73,44,33,34,103
31,175,320,72,38,30,32,103
33,187,321,76,40,28,35,59
32,180,286,87,38,29,43,57
31,171,313,100,38,29,46,50
32,168,315,102,38,27,49,102
33,163,317,97,41,30,49,104
33,140,317,92,38,30,49,107
34,161,279,86,44,29,44,110
35,159,260,70,44,28,45,109
35,206,344,86,49,31,42,66
34,203,345,87,48,27,41,62
32,201,324,82,46,25,42,54
33,222,330,91,42,28,43,44
33,226,383,103,41,32,38,38
30,166,293,88,34,30,39,40
29,170,287,90,35,33,47,40
32,174,356,95,38,36,45,40
30,146,380,91,42,34,41,39
29,139,333,85,42,32,40,48
29,142,331,83,42,31,39,40
32,166,324,82,42,29,31,40
29,167,253,81,43,29,31,39
28,150,203,74,40,29,31,39
30,197,212,74,43,29,29,39
31,194,217,74,42,31,31,38
28,168,235,78,44,30,31,39
29,218,232,76,47,31,39,39
29,225,234,74,47,33,41,39
30,182,187,69,44,32,41,30
31,229,169,74,45,32,42,42
32,228,195,72,43,33,41,40
31,181,219,73,39,31,38,41
33,194,246,74,41,30,44,43
31,202,251,81,41,29,45,43
33,151,292,79,41,31,44,43
31,158,294,77,42,33,49,43
32,172,280,75,44,33,47,42
30,149,263,73,42,34,46,40
31,175,284,76,41,34,48,42
30,175,243,73,40,33,47,31
31,171,207,70,40,32,41,41
32,188,358,86,40,31,40,41
32,191,388,93,45,28,32,41
30,172,379,83,51,29,33,39
28,179,378,89,52,29,42,39
27,177,421,93,51,29,41,30
28,160,318,89,52,29,47,31
30,155,283,88,48,30,52,40
33,204,292,94,43,31,54,40
37,228,330,99,43,29,52,39
39,233,316,96,42,34,60,39
40,219,330,131,46,42,87,38
41,229,521,181,56,45,88,29
41,181,528,215,61,44,91,32
41,146,526,212,60,48,96,86
45,210,534,216,64,48,97,119
43,218,523,201,75,40,77,125
48,246,406,197,85,46,102,129
55,298,459,179,106,73,197,145
160,419,495,245,123,82,340,135
178,445,494,253,137,121,412,146
186,486,538,307,134,131,446,174
196,626,635,356,138,130,503,185
200,661,672,447,141,122,550,213
147,742,735,504,148,123,488,243
175,752,778,530,141,105,591,245
196,752,815,530,152,107,625,239
243,692,734,522,150,123,628,256
252,667,759,573,158,140,607,237
278,610,718,548,148,142,714,286
278,678,701,574,153,147,659,286
282,761,750,647,167,212,645,289
270,770,774,646,171,219,626,273
299,810,726,612,165,217,695,273
301,802,722,586,163,222,690,217
306,725,726,568,154,229,737,211
316,694,696,583,136,321,805,213
298,753,665,580,192,330,1015,267
331,743,670,547,192,335,1067,305
319,803,749,626,199,337,1020,295
330,838,753,639,207,398,1051,305
320,837,741,580,214,310,1023,352
320,767,778,661,181,311,909,339
288,747,756,682,177,299,804,353
321,667,761,636,175,320,869,353
306,681,793,655,172,382,903,362
350,742,857,691,173,394,927,360
369,782,915,682,150,395,916,365
397,917,906,772,158,399,993,342
402,927,909,843,172,429,1073,367
407,898,866,875,179,469,1065,443
387,842,832,839,164,486,1035,474
415,864,842,805,182,482,1112,489
378,787,852,706,165,486,1132,479
368,809,822,635,149,544,1014,505
373,911,886,586,144,498,986,448
411,911,829,578,145,531,1012,405
405,899,775,559,137,530,872,389
438,876,804,565,155,595,819,407
441,830,792,532,158,603,971,402
473,764,720,515,169,558,981,468
424,797,838,515,186,577,1070,462
389,797,818,526,190,598,1100,453
387,806,834,602,184,594,1042,448
401,881,846,625,180,538,946,431
395,855,879,593,166,556,892,357
403,859,785,581,147,564,749,455
430,955,856,716,143,693,913,509
413,1005,846,616,136,664,1051,622
421,917,862,633,177,659,1107,649
413,966,889,663,190,673,1151,651
449,922,954,665,199,609,1170,619
446,838,902,566,190,444,995,621
474,779,951,609,211,420,933,514
429,856,900,598,205,414,806,518
471,819,891,648,204,362,787,516
491,891,831,651,194,358,872,529
507,890,821,612,197,389,886,550
504,865,864,640,188,383,990,540
502,893,922,633,207,388,1071,508
465,936,1001,573,195,378,1006,516
461,911,1046,629,216,402,942,503
453,871,1052,692,253,386,1029,447
417,900,968,673,250,426,952,470
425,857,898,633,212,423,920,451
405,787,765,657,219,429,1028,486
329,761,687,642,210,561,1042,431
349,773,735,577,163,565,971,437
379,737,753,583,165,556,907,491
390,693,791,630,175,636,940,493
374,720,876,659,176,647,864,513
416,735,955,749,164,520,869,569
395,784,973,900,188,672,976,589
379,852,1037,904,181,689,1016,552
399,911,1046,934,178,602,1011,543
437,961,1004,916,170,637,988,537
471,900,916,933,175,657,992,522
453,865,874,782,145,502,1031,525
446,793,760,753,178,532,1024,503
452,764,894,898,191,569,1034,515
418,706,873,892,192,548,1052,483
364,732,941,784,191,562,1071,435
359,691,918,808,219,585,1006,377
363,694,986,923,199,532,987,378
331,646,896,758,175,605,900,523
400,627,875,745,193,667,985,524
382,647,852,728,194,661,968,523
387,618,897,783,173,651,901,524
377,643,886,648,187,644,862,552
388,638,822,657,221,615,909,413
422,699,860,649,206,596,919,440
447,675,800,719,207,619,943,482
457,708,788,665,204,606,956,531
463,644,783,771,203,627,953,506
437,629,853,877,179,569,898,492
369,552,873,929,178,516,808,525
378,555,930,968,166,464,695,577
358,532,969,972,168,444,608,529
366,578,973,910,150,554,582,527
407,672,984,854,157,540,650,573
382,617,925,805,159,534,691,541
352,634,873,793,185,535,653,480
411,612,781,827,197,639,767,580
421,597,786,791,197,531,761,635
405,627,706,765,192,533,729,607
424,655,762,760,201,517,719,572
432,678,814,722,203,508,756,551
396,698,812,662,210,443,649,463
402,766,775,679,210,552,867,427
423,658,781,627,216,559,873,417
417,646,732,749,220,582,798,466
494,663,694,740,207,595,783,514
537,643,758,840,238,554,840,516
552,589,723,940,247,469,624,503
541,649,743,978,244,550,681,509
540,717,832,907,234,520,665,496
466,659,880,889,243,505,670,447
409,693,837,881,200,499,646,439
360,689,832,849,199,464,787,417
356,639,838,839,196,370,712,453
341,591,755,855,201,483,785,464
339,602,702,913,189,474,763,484
335,584,732,838,179,490,760,545
346,585,849,807,172,549,730,558
340,645,832,764,168,551,769,536
353,626,854,731,158,438,686,516
333,676,835,718,181,431,732,557
338,696,894,763,184,409,822,481
328,656,768,732,170,317,719,464
315,609,800,715,159,256,857,473
379,596,873,816,165,244,881,453
413,553,966,818,135,289,895,379
420,542,903,789,130,332,886,464
420,579,893,785,136,465,905,519
422,658,860,821,150,524,768,506
349,734,771,735,143,540,755,531
331,738,662,643,138,559,735,551
328,803,641,585,140,541,624,472
351,769,746,592,142,465,567,405
358,693,841,532,135,437,550,448
351,609,921,483,135,424,574,404
328,568,1017,505,133,410,530,378
343,407,1133,558,138,446,518,443
321,401,1083,529,137,475,605,437
322,406,1141,565,135,461,561,368
329,403,1151,691,140,490,500,502
345,440,1044,716,142,540,669,567
324,473,938,672,137,492,734,526
342,468,990,669,130,447,686,598
387,486,906,642,129,476,733,645
412,473,885,494,151,482,897,591
403,454,1063,433,169,405,823,524
385,422,1084,456,173,474,885,517
362,438,1044,465,176,493,1013,490
301,413,990,513,186,449,1056,481
242,402,927,503,161,409,970,423
233,327,750,475,136,465,963,472
218,336,656,485,127,428,886,495
181,329,646,433,130,392,711,431
146,299,627,370,119,396,590,419
170,318,590,383,121,455,505,415
154,343,577,380,118,395,442,331
148,351,602,284,111,355,320,316
145,318,563,273,107,368,323,337
157,326,497,262,102,440,287,311
135,331,522,222,94,377,263,322
124,314,458,183,104,348,196,321
113,314,381,186,120,342,187,290
112,313,431,184,119,446,274,309
97,302,443,149,109,371,378,302
76,301,405,149,107,361,536,309
94,317,462,176,99,368,553,319
93,291,497,167,73,369,562,341
95,286,495,169,62,274,525,314
91,253,508,173,65,253,448,282
94,232,562,169,64,261,240,261
76,225,527,143,62,296,204,314
95,268,506,143,58,314,176,317
90,302,516,117,57,273,157,294
89,318,501,100,55,291,158,370
84,318,467,103,58,281,142,367
90,312,466,113,57,265,109,336
69,269,473,104,52,248,111,313
64,250,448,110,49,231,116,322
66,229,446,112,48,273,117,235
66,261,467,110,48,297,128,225
63,272,487,92,43,288,139,270
66,278,476,101,45,283,136,273
66,286,484,103,47,281,128,259
65,298,516,141,58,214,108,246
61,272,465,150,63,197,99,253
66,270,439,149,61,219,87,211
63,257,460,155,66,247,88,207
66,242,407,155,66,240,93,226
74,233,330,125,64,243,94,227
79,234,343,114,61,254,93,221
75,262,393,119,64,241,94,179
75,269,392,117,70,208,90,258
72,274,451,111,74,255,79,249
78,332,480,115,69,285,110,328
